iter	Passed	Remaining
0	0	67
1	1	75
2	2	70
3	2	68
4	3	67
5	4	68
6	10	144
7	11	133
8	12	123
9	13	117
10	13	111
11	14	105
12	15	104
13	16	99
14	16	95
15	17	91
16	18	89
17	19	86
18	25	108
19	26	104
20	26	100
21	27	96
22	27	93
23	28	90
24	29	87
25	29	84
26	30	83
27	31	81
28	32	80
29	33	78
30	40	90
31	41	88
32	42	86
33	43	84
34	44	83
35	46	82
36	47	81
37	53	86
38	53	84
39	54	81
40	55	79
41	56	77
42	56	75
43	57	72
44	59	72
45	60	70
46	61	69
47	62	67
48	66	69
49	67	67
50	68	65
51	69	64
52	71	63
53	72	61
54	89	73
55	90	70
56	90	68
57	91	66
58	99	69
59	100	66
60	100	64
61	101	62
62	101	59
63	102	57
64	103	55
65	104	53
66	105	51
67	105	49
68	106	47
69	107	45
70	108	44
71	114	44
72	115	42
73	115	40
74	116	38
75	116	36
76	117	35
77	118	33
78	118	31
79	120	30
80	120	28
81	121	26
82	122	25
83	123	23
84	129	22
85	131	21
86	132	19
87	133	18
88	133	16
89	134	14
90	135	13
91	136	11
92	137	10
93	143	9
94	144	7
95	145	6
96	146	4
97	146	2
98	147	1
99	148	0
