iter	Passed	Remaining
0	0	643
1	1	594
2	1	583
3	2	582
4	2	586
5	3	592
6	4	629
7	5	623
8	6	675
9	6	673
10	7	672
11	8	680
12	9	688
13	9	698
14	10	689
15	11	676
16	11	677
17	12	668
18	13	675
19	13	666
20	14	657
21	14	653
22	15	651
23	16	650
24	16	654
25	17	654
26	18	652
27	19	693
28	20	695
29	21	697
30	22	708
31	23	702
32	23	700
33	24	695
34	25	690
35	25	684
36	26	690
37	27	694
38	28	697
39	29	697
40	29	698
41	30	699
42	31	700
43	34	754
44	36	769
45	37	768
46	37	763
47	38	759
48	38	752
49	39	746
50	39	739
51	40	733
52	40	727
53	41	723
54	41	719
55	42	717
56	43	711
57	43	712
58	46	746
59	48	765
60	49	764
61	50	763
62	51	770
63	52	766
64	52	762
65	53	759
66	54	759
67	55	754
68	55	751
69	56	747
70	56	743
71	57	738
72	57	736
73	58	732
74	59	728
75	59	723
76	60	720
77	60	717
78	61	715
79	63	732
80	64	730
81	65	732
82	65	725
83	66	722
84	66	717
85	67	713
86	67	710
87	68	706
88	68	704
89	69	700
90	69	697
91	70	696
92	71	695
93	72	701
94	73	701
95	74	700
96	74	698
97	75	695
98	76	694
99	79	713
100	80	713
101	80	711
102	81	708
103	81	706
104	82	702
105	82	699
106	83	696
107	83	693
108	84	690
109	84	687
110	85	685
111	86	683
112	86	682
113	87	679
114	88	678
115	88	675
116	88	671
117	89	668
118	89	666
119	90	663
120	90	660
121	92	667
122	93	665
123	93	662
124	94	660
125	94	658
126	95	654
127	95	652
128	96	651
129	96	648
130	97	646
131	97	643
132	98	641
133	98	638
134	99	636
135	99	634
136	100	632
137	101	631
138	101	629
139	102	628
140	102	626
141	103	623
142	103	621
143	104	620
144	104	618
145	105	617
146	106	615
147	107	617
148	109	624
149	110	623
150	111	627
151	112	626
152	112	625
153	113	624
154	114	625
155	115	625
156	116	624
157	116	622
158	117	621
159	118	620
160	118	617
161	119	616
162	119	615
163	120	613
164	122	618
165	122	617
166	123	616
167	124	615
168	125	615
169	125	615
170	126	613
171	127	611
172	127	609
173	127	607
174	128	605
175	129	604
176	129	603
177	130	602
178	131	600
179	131	599
180	131	597
181	132	595
182	132	593
183	133	591
184	133	589
185	134	587
186	134	585
187	135	584
188	136	586
189	137	585
190	137	583
191	138	582
192	138	580
193	139	578
194	139	577
195	140	575
196	140	573
197	141	571
198	141	570
199	142	568
200	142	566
201	143	565
202	143	564
203	144	562
204	144	562
205	145	560
206	145	558
207	146	557
208	146	555
209	147	554
210	147	552
211	148	551
212	148	550
213	149	548
214	149	547
215	151	550
216	152	549
217	152	548
218	153	546
219	153	545
220	154	543
221	154	542
222	155	540
223	155	539
224	156	538
225	156	537
226	157	535
227	157	534
228	158	533
229	159	535
230	160	534
231	160	532
232	161	531
233	162	530
234	162	529
235	163	527
236	163	526
237	164	525
238	164	523
239	166	526
240	166	524
241	167	523
242	167	522
243	168	521
244	168	520
245	169	518
246	169	517
247	170	516
248	170	515
249	171	513
250	171	512
251	172	510
252	172	510
253	173	509
254	173	508
255	174	507
256	174	505
257	175	504
258	175	503
259	176	501
260	176	500
261	177	498
262	177	497
263	177	495
264	178	494
265	178	492
266	178	491
267	180	493
268	181	492
269	181	491
270	182	489
271	182	488
272	182	487
273	183	485
274	183	484
275	184	483
276	184	482
277	185	481
278	185	479
279	186	478
280	186	477
281	187	476
282	187	475
283	188	474
284	188	473
285	189	472
286	189	471
287	190	469
288	190	468
289	190	467
290	191	466
291	191	465
292	192	464
293	194	466
294	194	465
295	195	465
296	196	465
297	197	464
298	198	464
299	198	463
300	198	462
301	199	460
302	199	459
303	200	458
304	200	457
305	201	457
306	202	457
307	203	457
308	204	456
309	204	455
310	205	454
311	205	453
312	206	453
313	206	451
314	207	451
315	207	450
316	208	450
317	209	449
318	210	449
319	210	448
320	211	447
321	212	446
322	212	446
323	213	445
324	213	443
325	214	442
326	214	441
327	215	440
328	215	439
329	216	439
330	216	438
331	217	437
332	217	436
333	218	435
334	218	434
335	219	433
336	219	432
337	220	431
338	220	430
339	221	429
340	221	428
341	221	427
342	222	425
343	223	426
344	224	425
345	224	424
